ObjID,image_id,trail_length,snr,pmax_pt,line_thr0.5,pt_thr0.5,line_thr0.3,pt_thr0.3,line_thr0.1,pt_thr0.1
K24O02N,1974,10.28070017097977,7.430076642495658,0.8716416954994202,True,True,True,True,True,True
K25O11L,2037,24.55668016827581,2.657889206551359,0.9632431864738464,True,True,True,True,True,True
K25N01U,2040,9.070787336483775,2.7790769534039703,0.008012421429157257,False,False,False,False,False,False
K25O09V,2038,12.710608739222412,2.9778380069642494,0.3568209707736969,False,False,True,True,True,True
K25O09V,2036,12.702584905565118,2.124679159684644,0.5470304489135742,True,True,True,True,True,True
K13T04M,2067,15.89490258200262,3.3761764477027745,0.4761117398738861,False,False,True,True,True,True
K14A16B,2084,6.64541364804091,3.2792990444986345,0.017916550859808922,False,False,False,False,False,False
K25O10K,2086,20.01449578047329,4.370185248353274,0.015847954899072647,False,False,False,False,False,False
K19J00M,2144,18.7019319610374,2.1651515700025743,0.059540241956710815,False,False,False,False,True,False
K22P00J,2186,9.728543009068956,8.22074368615693,0.4761117398738861,False,False,True,True,True,True
K19J00M,2223,13.669169173994968,4.641798130587502,0.00016361438611056656,False,False,False,False,False,False
K19J00M,2242,13.660041664308014,7.205611099266827,8.214920671889558e-05,False,False,False,False,False,False
K19J00M,2252,13.664087966040752,8.134321122684602,0.0002529349294491112,False,False,False,False,False,False
K19J00M,2226,13.64714255776331,3.342207845398934,0.000426058832090348,False,False,False,False,False,False
K19J00M,2228,13.676664182947572,2.3862322861028185,0.952038049697876,True,True,True,True,True,True
K19J00M,2240,13.665515457147343,5.735061149590863,0.002080728067085147,False,False,False,False,False,False
K19J00M,2255,13.681530066948886,2.6013492044899205,0.000640835496596992,False,False,False,False,False,False
K19J00M,2241,13.687341324276222,5.704033521771724,0.000642061117105186,False,False,False,False,False,False
K19J00M,2234,13.661169881982213,2.1403204265863205,0.00011520479893079028,False,False,False,False,False,False
K19J00M,2243,13.675747186324902,4.225057178827845,0.5573784112930298,True,True,True,True,True,True
K19J00M,2225,13.642408706468183,3.2961302227891665,0.0001927488046931103,False,False,False,False,False,False
K19J00M,2229,13.685039613150808,2.960065603398997,0.998938798904419,True,True,True,True,True,True
K25O11L,2320,9.20008957481882,3.1030319000581805,0.997590959072113,True,True,True,True,True,True
K25O09P,2382,13.414462934147735,2.088824731633028,0.01128158625215292,False,False,False,False,False,False
K21J01U,2473,6.391386784893463,8.34618289371269,0.01636827364563942,False,False,False,False,False,False
K17Q02F,2499,9.034914441479604,4.771807532160124,0.9877598285675049,True,True,True,True,True,True
