image_id,visit,detector,band
263,2025071000444,125,z
264,2025071000533,30,z
265,2025071000533,31,z
266,2025071000533,33,z
267,2025071000533,34,z
268,2025071000533,72,z
269,2025071000533,73,z
270,2025071000533,75,z
271,2025071000533,76,z
272,2025071000533,78,z
273,2025071000533,79,z
274,2025071000533,117,z
275,2025071000533,118,z
276,2025071000533,120,z
277,2025071000533,121,z
278,2025071000533,124,z
279,2025071000533,125,z
280,2025071000534,30,z
281,2025071000534,31,z
282,2025071000534,33,z
283,2025071000534,34,z
284,2025071000534,72,z
285,2025071000534,73,z
286,2025071000534,75,z
287,2025071000534,76,z
288,2025071000534,78,z
289,2025071000534,79,z
290,2025071000534,117,z
291,2025071000534,118,z
292,2025071000534,120,z
293,2025071000534,121,z
294,2025071000534,124,z
295,2025071000534,125,z
296,2025071000579,165,z
297,2025071000579,166,z
298,2025071000579,169,z
299,2025071000579,170,z
300,2025071000579,177,z
301,2025071000579,178,z
302,2025071000581,13,z
303,2025071000581,14,z
304,2025071000581,16,z
305,2025071000581,17,z
306,2025071000581,24,z
307,2025071000581,25,z
308,2025071000581,26,z
309,2025071000581,46,z
310,2025071000581,47,z
311,2025071000581,49,z
312,2025071000581,50,z
313,2025071000581,52,z
314,2025071000581,53,z
315,2025071000581,54,z
316,2025071000581,55,z
317,2025071000581,56,z
318,2025071000581,57,z
319,2025071000581,58,z
320,2025071000581,59,z
321,2025071000581,60,z
322,2025071000581,61,z
323,2025071000581,62,z
324,2025071000581,63,z
325,2025071000581,64,z
326,2025071000581,66,z
327,2025071000581,67,z
328,2025071000581,68,z
329,2025071000581,69,z
330,2025071000581,70,z
331,2025071000581,71,z
332,2025071000581,90,z
333,2025071000581,91,z
334,2025071000581,92,z
335,2025071000581,93,z
336,2025071000581,94,z
337,2025071000581,95,z
338,2025071000581,96,z
339,2025071000581,97,z
340,2025071000581,98,z
341,2025071000581,99,z
342,2025071000581,100,z
343,2025071000581,101,z
344,2025071000581,102,z
345,2025071000581,103,z
346,2025071000581,104,z
347,2025071000581,105,z
348,2025071000581,106,z
349,2025071000581,107,z
350,2025071000581,108,z
351,2025071000581,109,z
352,2025071000581,110,z
353,2025071000581,111,z
354,2025071000581,112,z
355,2025071000581,114,z
356,2025071000581,115,z
357,2025071000581,136,z
358,2025071000581,137,z
359,2025071000581,144,z
360,2025071000581,145,z
361,2025071000581,146,z
362,2025071000581,153,z
363,2025071000581,154,z
364,2025071100643,8,y
365,2025071100643,10,y
366,2025071100643,11,y
367,2025071100643,12,y
368,2025071100643,13,y
369,2025071100643,14,y
370,2025071100643,15,y
371,2025071100643,16,y
372,2025071100643,17,y
373,2025071100643,18,y
374,2025071100643,19,y
375,2025071100643,21,y
376,2025071100643,22,y
377,2025071100643,23,y
378,2025071100643,24,y
379,2025071100643,25,y
380,2025071100643,26,y
381,2025071100643,37,y
382,2025071100643,38,y
383,2025071100643,40,y
384,2025071100643,41,y
385,2025071100643,44,y
386,2025071100643,45,y
387,2025071100643,46,y
388,2025071100643,47,y
389,2025071100643,48,y
390,2025071100643,49,y
391,2025071100643,50,y
392,2025071100643,51,y
393,2025071100643,52,y
394,2025071100643,53,y
395,2025071100643,54,y
396,2025071100643,55,y
397,2025071100643,56,y
398,2025071100643,57,y
399,2025071100643,58,y
400,2025071100643,59,y
401,2025071100643,60,y
402,2025071100643,61,y
403,2025071100643,62,y
404,2025071100643,63,y
405,2025071100643,64,y
406,2025071100643,66,y
407,2025071100643,67,y
408,2025071100643,68,y
409,2025071100643,69,y
410,2025071100643,70,y
411,2025071100643,90,y
412,2025071100643,91,y
413,2025071100643,92,y
414,2025071100643,95,y
415,2025071100643,99,y
416,2025071100643,100,y
417,2025071100643,101,y
418,2025071100643,102,y
419,2025071100643,103,y
420,2025071100643,104,y
421,2025071100643,105,y
422,2025071100643,106,y
423,2025071100643,108,y
424,2025071100694,159,y
425,2025071100694,182,y
426,2025071100694,184,y
427,2025071100706,8,y
428,2025071100706,10,y
429,2025071100706,11,y
430,2025071100706,12,y
431,2025071100706,13,y
432,2025071100706,14,y
433,2025071100706,15,y
434,2025071100706,16,y
435,2025071100706,17,y
436,2025071100706,18,y
437,2025071100706,19,y
438,2025071100706,21,y
439,2025071100706,22,y
440,2025071100706,23,y
441,2025071100706,24,y
442,2025071100706,25,y
443,2025071100706,26,y
444,2025071100706,37,y
445,2025071100706,38,y
446,2025071100706,40,y
447,2025071100706,41,y
448,2025071100706,44,y
