ssObjectId,rate,helio,topo,ra,dec,ndet,rabin,decbin
21165827779735627,1.1760562897737334,1.1345495931082938,0.1253661767757411,302.1174625035694,-15.749897620479295,2,300,-20
21165827779735633,0.7584950592825548,1.2269007044014877,0.2161517135416796,313.815967661105,-15.492353610356533,16,310,-20
21165827779735636,3.2594103895347706,1.0954275303809786,0.08154622398449493,300.0238706991955,-17.52133400519254,6,300,-20
21165827779735874,1.666517356045856,1.189131348199266,0.20545350741318358,324.2825549288475,-14.36761946797585,4,320,-15
21165827779735882,1.1136416375613611,1.1884256338922834,0.18273480597449973,323.4014077499089,-17.63931186571054,9,320,-20
21165827779735893,1.0456167345958212,1.4954806366273155,0.4888906513299243,312.00415044688424,-17.962180518694925,7,310,-20
21165827779737690,0.4638026233695574,1.2370623680296533,0.2242944041732295,313.0765165932708,-19.998653439935836,5,310,-20
21165827779737921,0.2595792839557482,1.2671688407398252,0.2648370777495291,309.0112315624328,-16.474620566560432,22,305,-20
21165827796513092,0.32085807976896297,1.182611365920609,0.19682416800789337,321.04679882546264,-15.564887170830836,5,320,-20
21165827796513113,3.277580452573119,1.0805486650567522,0.06603833359301393,289.3501315434329,-18.2935509387584,4,285,-20
21165827796513626,1.2459105068723486,1.1330782291475232,0.11775329747797096,302.3180854687757,-14.900763071342787,7,300,-15
21165827796513869,2.0470069542877347,1.0835506568277835,0.07152524811419257,308.7331482247613,-17.587898507106235,6,305,-20
21165827796513872,0.6609800233401881,1.20642772849299,0.196234380813537,315.7125968655823,-14.346506732970756,2,315,-15
21165827796514647,1.2717012987749383,1.1642654677448037,0.1494443700983128,303.29463472792065,-19.221056792657322,2,300,-20
21165827796514649,0.6489987417987132,1.168371101971092,0.155467360967679,322.24598406167775,-14.588634892749985,5,320,-15
21165827796515150,0.33242418937973073,1.2044647551495253,0.19216926075637925,324.53081149202103,-14.995607731210766,2,320,-15
21165827796515155,0.724740354101544,1.2271245278429952,0.22720250784997434,314.6413859763562,-18.06327146128965,8,310,-20
21165827796515158,1.7555979867127007,1.1170359426819072,0.10231026331142933,310.7439818009497,-18.975798835633206,6,310,-20
21165827796515159,0.1921915859389409,1.234881697197091,0.22574202725622552,283.5974878192044,-14.457078804710749,1,280,-15
21165827796578380,0.9851970971639776,1.1012815306201809,0.08583518753204349,308.51641761394336,-19.095936655145017,2,305,-20
21165827796578636,2.6296830209910547,1.1071895625887531,0.09171415925348353,302.7399649572658,-14.931859982292407,3,300,-15
21165827796578900,0.3808653931127851,1.2500626436018465,0.23453251912555717,291.82001162891584,-21.132927388604337,2,290,-25
21165827796578901,6.414702004546491,1.0343541962565534,0.01915715176263671,314.5356180912776,-15.616418192799532,1,310,-20
21165827796579139,2.0949717176455342,1.1965014001127714,0.18170114748224248,313.0645692120827,-16.91844711788527,2,310,-20
21165827796579652,1.069441417298397,1.2655320036102733,0.342839730707567,9.686480980854107,-45.7979583427774,2,5,-50
21165827796644935,1.0949978295839369,1.2789698879966753,0.2660069476816205,317.8717063609045,-17.698906033442256,6,315,-20
21165827796775748,0.9623993775839346,1.2104708845886178,0.196241760523101,307.724199326737,-21.41475790994491,4,305,-25
21165827813290056,1.0477157917580175,1.2618960630035134,0.27566765028934354,320.90893601702044,-15.553652997394103,6,320,-20
21165827813290330,3.3769820174283125,1.1577347839256529,0.14445212078456543,318.81296921409853,-17.36401487403162,2,315,-20
21165827830068306,0.4432939402358484,1.241275278340427,0.23329730636480234,318.59331239518815,-15.89880821138057,1,315,-20
21165827830068822,0.13613733854067944,1.2183360483385397,0.2106252227111248,290.58251314394806,-17.754570334698418,2,290,-20
21165827830069571,0.9478958961944415,1.1977671672982124,0.3369731243810619,8.74121361946343,-45.62951085943321,4,5,-50
21165827830133583,1.0917302378358285,1.1296888201702202,0.11768350013943014,310.9598743802329,-14.674791905872109,8,310,-15
21165827846844481,1.0670291171430775,1.0821555386208155,0.08405057554586065,287.77899379271105,-21.105116426218494,1,285,-25
21165827846845528,4.235825081599737,1.0217521981915443,0.025247321471023,314.12551616233384,-16.437558188589932,2,310,-20
21165827863621720,0.9305984942249385,1.0783282731713655,0.07733886981812152,318.5080145208352,-21.681570140416557,3,315,-25
21165827863621971,2.473018489699212,1.140828563074222,0.17305016684929886,322.3831160717385,-19.29705506260337,2,320,-20
21165827863688522,4.793270696869101,1.03817914652995,0.052982830937839634,311.47428109037946,-20.706424084702086,2,310,-25
