#MJD,RA,Dec,observerX,observerY,observerZ,stringID,mag,band,obscode,origindex
60868.3289777,61.4131630,-50.2827580,51724606.826,-143004089.627,6385.890,236,14.005,g,I11,238
60868.3294119,61.4130022,-50.2820592,51725644.856,-143003701.212,6380.255,237,14.069,g,I11,239
60868.3372999,63.7472405,-47.7783533,51744496.509,-142996640.841,6276.858,238,18.962,i,I11,240
60868.3377332,63.7479890,-47.7774055,51745531.721,-142996252.785,6271.125,239,18.862,i,I11,241
60868.3398634,63.7516666,-47.7727433,51750619.945,-142994344.917,6242.867,240,19.590,g,I11,242
60868.3402979,63.7524168,-47.7717912,51751657.692,-142993955.702,6237.088,241,19.658,g,I11,243
60868.3463390,5.5791231,2.4064096,51766082.018,-142988542.142,6156.237,244,21.500,y,I11,246
60868.3468425,5.5788635,2.4058977,51767283.975,-142988090.739,6149.457,246,24.679,y,I11,248
60868.9878275,255.6973507,-26.0750038,53278432.733,-142426488.690,6765.530,247,22.661,g,I11,249
60869.0112398,255.7421125,-26.0584805,53334392.906,-142406180.309,7009.006,254,18.873,r,I11,256
60868.9882740,258.4050340,-27.3743309,53279499.183,-142426102.221,6770.454,248,21.500,g,I11,250
60868.9896118,258.4081966,-27.3737971,53282694.501,-142424944.159,6785.144,250,21.500,g,I11,252
60869.0116870,258.4602176,-27.3648773,53335462.644,-142405791.461,7013.348,255,23.590,r,I11,257
60868.9887215,263.4662838,-26.1461610,53280567.862,-142425714.925,6775.377,249,29.076,g,I11,251
60869.0121302,263.5315228,-26.1480314,53336522.932,-142405406.024,7017.639,256,21.500,r,I11,258
60869.0187134,263.5497974,-26.1485161,53352273.488,-142399677.315,7079.936,257,21.500,r,I11,259
60869.0048320,258.8773704,-17.7231170,53319068.823,-142411747.820,6945.473,251,22.670,g,I11,253
60869.0285769,258.8935279,-17.6960426,53375883.323,-142391078.833,7168.061,258,22.678,r,I11,260
60869.0053027,258.7812150,-16.2303329,53320194.282,-142411339.092,6950.223,252,21.500,g,I11,254
