detid,mjd,ra,dec,mag,band1,obscode,ObjID
646,60875.20851849143,331.44906469711486,-18.222234799187483,21.5,u,I11,K18L15U
647,60875.210842334265,331.31994966462656,-14.530547256376884,31.181447057352862,u,I11,K25O04Q
648,60875.21138343857,331.3208186379165,-14.531278211786924,26.323847376470408,u,I11,K25O04Q
649,60875.21192018794,333.7882569453758,-11.036360624200835,21.5,u,I11,K25P00P
650,60875.2155008838,325.1452600640859,-4.798187344652838,24.08368393488181,u,I11,K25P00H
651,60875.23115905389,344.645335538238,-15.358011812276438,22.203580109969856,r,I11,K25O12U
652,60875.231643757936,345.13433459492325,-8.895489271360946,20.9449444836035,r,I11,K25O10K
653,60875.23257390477,345.1333646337148,-8.893457866545937,20.963694366674662,r,I11,K25O10K
654,60875.23363034497,339.7724462206816,1.6236228288973424,21.5,r,I11,K25P01B
655,60875.23427470702,324.67825629283186,-14.969355248463229,21.029902040969,r,I11,K13T04M
656,60875.240284342384,339.7859251251223,-17.615697094531374,21.54234935848892,g,I11,K25O02E
657,60875.25161811541,332.4246202623712,1.0280791304397692,21.5,g,I11,K25P00K
658,60875.25300302515,330.98113724702847,-5.0284382955927285,23.38017653236181,g,I11,K25O17H
659,60875.26251025888,352.43590189098325,-0.0310659130481014,24.776370647233087,r,I11,K22Y06N
660,60875.27270444599,355.81972212422335,1.1044407153116147,18.832047726489883,r,I11,K25F02V
661,60875.2736297929,358.20874509216225,7.158285371938414,25.742035016511,r,I11,K16S00C
662,60875.2736297929,357.7238362478337,4.569082941089609,21.53710747308861,r,I11,K20B05A
663,60875.27762057325,0.5365220981484462,-10.580818921810785,19.11331408860128,r,I11,K02A31V
664,60875.28153289126,0.1769970364266797,11.613764308039682,22.58431321926905,r,I11,K22P00J
665,60875.28726137246,358.90936485768003,2.0478307687287174,29.290577547815197,r,I11,K16P08B
666,60875.28772081661,357.73030305011616,4.583280782109386,21.645065640135712,r,I11,K20B05A
667,60875.28816514354,355.8206826701572,1.0763308782193777,19.342855673567183,r,I11,K25F02V
668,60875.28907017215,352.487901148127,-0.0075113903969346,25.77350820588389,r,I11,K22Y06N
669,60875.29133651854,346.21324486203366,-2.636691952159035,19.840611674648585,r,I11,K24P03R
670,60875.293650801934,339.7797514348495,1.5334197134978964,21.5,r,I11,K25P01B
671,60875.298344285606,345.0640507556485,-8.749527673611325,20.738358386645967,r,I11,K25O10K
672,60875.313264738,358.93486462198103,2.0533356244765537,25.446731649567653,i,I11,K16P08B
673,60875.314835872494,352.5382681264533,0.0153729566050038,21.5,i,I11,K22Y06N
674,60875.31714917508,346.19921237887155,-2.6635738554034094,20.141464834472124,i,I11,K24P03R
675,60875.31948693647,339.7827772037304,1.4944953159774232,21.5,i,I11,K25P01B
676,60875.32450946026,345.03622368303223,-8.692113815360942,21.50211945067321,i,I11,K25O10K
677,60875.36225547886,58.06537013953072,-48.5760233007367,21.5,r,I11,K21R03Y
678,60875.36269103804,58.06513883709731,-48.57656471748362,24.31882768994689,r,I11,K21R03Y
679,60875.3631274557,58.06490634638669,-48.57710860098748,21.5,r,I11,K21R03Y
680,60875.36910129772,320.61053442685284,-16.05077133838222,21.326572480908315,r,I11,K25N01J
681,60875.37139028589,328.8995200931216,-21.371713012069456,20.400486357358854,r,I11,K25O01D
682,60875.37923282415,328.9067961900258,-21.378516483982885,20.26608889787129,i,I11,K25O01D
683,60875.3815829029,331.69035681626855,-21.47242683718285,20.058243920612902,i,I11,K15N13Y
684,60875.38209487512,324.9180382372357,-14.90479639315041,21.12219629949297,i,I11,K13T04M
685,60875.38257169135,331.7355027180212,-17.931155480257456,18.885859689664947,i,I11,K18L15U
686,60875.38695327711,331.6863219931796,-21.467102449686674,20.08672056521284,i,I11,K15N13Y
687,60875.38811482556,324.92793748844315,-14.902091384871534,21.109134619698644,i,I11,K13T04M
688,60875.38999481389,331.74785839377523,-17.91850871558326,19.120942450370592,i,I11,K18L15U
689,60875.39079976901,324.93235802049384,-14.900883245060411,21.373731580361227,i,I11,K13T04M
690,60875.97801030528,253.4054998629161,-22.614016408571352,16.98439863098062,r,I11,K14Qh2X
691,60875.97801030528,252.69783496287272,-23.07122105862789,22.920225846928425,r,I11,K25O04E
692,60875.985908480565,254.03092555281623,-25.372865641444463,24.06816567392599,i,I11,K07A02C
693,60875.98955250421,253.4255929853203,-22.62308156641605,16.832537722394648,i,I11,K14Qh2X
694,60875.98955250421,252.8607887283156,-23.0737199177051,22.318930271662676,i,I11,K25O04E
695,60875.99649876828,248.76366169087493,-18.432106894903253,25.001907093167027,g,I11,K20O03O
696,60875.996945121486,244.82729796629351,-19.319633835544952,22.224004399209072,g,I11,K25M89U
697,60876.01561150796,267.45618879311246,-21.31753343120701,22.561537954882336,u,I11,K25F23V
698,60876.01620388744,266.72336893594434,-15.14310359137786,21.423929792857045,u,I11,K12M06L
699,60876.01674163506,266.72375914244674,-15.143684816036702,21.32876681752669,u,I11,K12M06L
700,60876.01947412863,266.7257393874376,-15.146635522385443,18.440996707694858,g,I11,K12M06L
701,60876.022249861984,267.4650150840806,-21.31358739043483,19.07426972681499,g,I11,K25F23V
702,60876.02449414461,273.5313011263364,-21.76902034965843,25.056904693071036,g,I11,K25M02D
703,60876.03038925471,282.48323455560126,-32.926298592621414,28.11516628442676,g,I11,K25M92E
704,60876.03406278179,283.8352228297821,-24.88333816982824,21.5,g,I11,K25O07Y
705,60876.03635748465,279.25878654353147,-22.01877373933552,20.240956132243795,g,I11,K25O01Y
706,60876.04088257157,266.7411901303607,-15.169711817683966,17.855089123943213,g,I11,K12M06L
707,60876.04305400453,266.7427508207615,-15.17204720280728,17.408126905890175,r,I11,K12M06L
708,60876.04827472151,273.53435051161915,-21.807272998686475,24.158607197883494,r,I11,K25M02D
709,60876.07284136361,283.9347569520013,-24.87086479238234,25.890256397097403,r,I11,K25O07Y
710,60876.075155731545,279.3801368626808,-21.977446535873728,20.28853466670364,r,I11,K25O01Y
711,60876.080178313525,266.7693024305806,-15.211844535039395,17.672383808349903,r,I11,K12M06L
712,60876.08294959899,281.91017851846914,-15.031396068614114,28.552494733257845,u,I11,K11A37L
713,60876.084058777866,285.06493533505056,-19.465149199046248,25.70534048738797,u,I11,K18P22D
714,60876.085749252336,293.74606370842525,-28.751672207005463,24.094161394551527,u,I11,K25O01U
715,60876.08628911855,294.2902429163796,-25.20842184989145,25.892472115251906,u,I11,K25O07X
716,60876.09295600329,294.1754010132311,-11.45268769796519,21.5,u,I11,K25O07W
717,60876.09409842435,296.3202025551416,-19.39676528922776,22.936459942075945,u,I11,K25O00O
718,60876.09574330669,293.7358458488232,-28.774798502869825,23.84474763014784,u,I11,K25O01U
719,60876.09795208791,296.33010466112904,-19.38625999707255,22.48221660417289,u,I11,K25O00O
720,60876.103066498414,242.1821087753234,-19.093487369984217,24.541231814704418,g,I11,K22M02B
721,60876.103066498414,244.83015513514783,-19.44882198618396,22.84676769927953,g,I11,K25M89U
722,60876.11310518923,301.23761644927464,-23.13666200567676,24.319658187223585,u,I11,K25A02H
