#r(AU) rdot(AU/day) norm mean_accel
1.050000 0.008600 10877.000000 -0.400000
1.050000 0.008600 10877.000000 0.400000
1.050000 0.008600 10877.000000 0.600000
1.050000 -0.008600 2760.000000 0.000000
1.050000 -0.008600 2760.000000 -0.200000
1.050000 -0.008600 2760.000000 0.200000
1.050000 -0.008600 2760.000000 0.400000
1.050000 -0.008600 2760.000000 0.600000
1.050000 0.008800 10877.000000 0.000000
1.050000 0.008800 10877.000000 -0.200000
1.050000 0.008800 10877.000000 0.200000
1.050000 0.008800 10877.000000 -0.400000
1.050000 0.008800 10877.000000 0.400000
1.050000 0.008800 10877.000000 0.600000
1.050000 -0.008800 2760.000000 0.000000
1.050000 -0.008800 2760.000000 -0.200000
1.050000 -0.008800 2760.000000 0.200000
1.050000 -0.008800 2760.000000 0.400000
1.050000 -0.008800 2760.000000 0.600000
1.050000 0.009000 10877.000000 0.000000
1.050000 0.009000 10877.000000 -0.200000
1.050000 0.009000 10877.000000 0.200000
1.050000 0.009000 10877.000000 -0.400000
1.050000 0.009000 10877.000000 0.400000
1.050000 0.009000 10877.000000 0.600000
1.050000 -0.009000 2760.000000 0.000000
1.050000 -0.009000 2760.000000 -0.200000
1.050000 -0.009000 2760.000000 0.200000
1.050000 -0.009000 2760.000000 0.400000
1.050000 -0.009000 2760.000000 0.600000
1.050000 0.009200 10877.000000 0.000000
1.050000 0.009200 10877.000000 -0.200000
1.050000 0.009200 10877.000000 0.200000
1.050000 0.009200 10877.000000 -0.400000
1.050000 0.009200 10877.000000 0.400000
1.050000 0.009200 10877.000000 0.600000
1.050000 -0.009200 2760.000000 0.000000
1.050000 -0.009200 2760.000000 -0.200000
1.050000 -0.009200 2760.000000 0.200000
1.050000 -0.009200 2760.000000 0.400000
1.050000 -0.009200 2760.000000 0.600000
1.050000 0.009400 10877.000000 0.000000
1.050000 0.009400 10877.000000 -0.200000
1.050000 0.009400 10877.000000 0.200000
1.050000 0.009400 10877.000000 -0.400000
1.050000 0.009400 10877.000000 0.400000
1.050000 0.009400 10877.000000 0.600000
1.050000 -0.009400 2760.000000 0.000000
1.050000 -0.009400 2760.000000 -0.200000
1.050000 -0.009400 2760.000000 0.200000
1.050000 -0.009400 2760.000000 0.400000
1.050000 -0.009400 2760.000000 0.600000
1.050000 0.009600 10877.000000 0.000000
1.050000 0.009600 10877.000000 -0.200000
1.050000 0.009600 10877.000000 0.200000
1.050000 0.009600 10877.000000 -0.400000
1.050000 0.009600 10877.000000 0.400000
1.050000 0.009600 10877.000000 0.600000
1.050000 -0.009600 2760.000000 0.000000
1.050000 -0.009600 2760.000000 -0.200000
1.050000 -0.009600 2760.000000 0.200000
1.050000 -0.009600 2760.000000 0.400000
1.050000 -0.009600 2760.000000 0.600000
1.050000 0.009800 10877.000000 0.000000
1.050000 0.009800 10877.000000 -0.200000
1.050000 0.009800 10877.000000 0.200000
1.050000 0.009800 10877.000000 -0.400000
1.050000 0.009800 10877.000000 0.400000
1.050000 0.009800 10877.000000 0.600000
1.050000 -0.009800 2760.000000 0.000000
1.050000 -0.009800 2760.000000 -0.200000
1.050000 -0.009800 2760.000000 0.200000
1.050000 -0.009800 2760.000000 0.400000
1.050000 -0.009800 2760.000000 0.600000
1.050000 0.010000 10877.000000 0.000000
1.050000 0.010000 10877.000000 -0.200000
1.050000 0.010000 10877.000000 0.200000
1.050000 0.010000 10877.000000 -0.400000
1.050000 0.010000 10877.000000 0.400000
1.050000 0.010000 10877.000000 0.600000
1.050000 -0.010000 2566 0.000000
1.050000 -0.010000 2566 -0.400000
1.050000 -0.010000 2566 0.400000
1.050000 0.010000 2597 0.000000
1.050000 0.010000 2597 -0.400000
1.050000 0.010000 2597 0.400000
1.050000 -0.010000 2760.000000 0.000000
1.050000 -0.010000 2760.000000 -0.200000
1.050000 -0.010000 2760.000000 0.200000
1.050000 -0.010000 2760.000000 0.400000
1.050000 -0.010000 2760.000000 0.600000
1.050000 0.010200 10877.000000 0.000000
1.050000 0.010200 10877.000000 -0.200000
1.050000 0.010200 10877.000000 0.200000
1.050000 0.010200 10877.000000 -0.400000
1.050000 0.010200 10877.000000 0.400000
1.050000 0.010200 10877.000000 0.600000
1.050000 -0.010200 2760.000000 0.000000
1.050000 -0.010200 2760.000000 -0.200000
1.050000 -0.010200 2760.000000 0.200000
1.050000 -0.010200 2760.000000 0.400000
1.050000 -0.010200 2760.000000 0.600000
1.050000 0.010400 10877.000000 0.000000
1.050000 0.010400 10877.000000 -0.200000
1.050000 0.010400 10877.000000 0.200000
1.050000 0.010400 10877.000000 -0.400000
1.050000 0.010400 10877.000000 0.400000
1.050000 0.010400 10877.000000 0.600000
1.050000 -0.010400 2760.000000 0.000000
1.050000 -0.010400 2760.000000 -0.200000
1.050000 -0.010400 2760.000000 0.200000
1.050000 -0.010400 2760.000000 0.400000
1.050000 -0.010400 2760.000000 0.600000
1.050000 0.010600 10877.000000 0.000000
1.050000 0.010600 10877.000000 -0.200000
1.050000 0.010600 10877.000000 0.200000
1.050000 0.010600 10877.000000 -0.400000
1.050000 0.010600 10877.000000 0.400000
1.050000 0.010600 10877.000000 0.600000
1.050000 -0.010600 2760.000000 0.000000
1.050000 -0.010600 2760.000000 -0.200000
