L_true,dpa,L_meas
8.0,5.4723053,12.517355918884277
8.0,5.106819,11.21403694152832
8.0,10.898811,13.591666221618652
8.0,3.648262,11.614228248596191
8.0,6.6916885,11.808618545532227
8.0,19.241043,12.205584526062012
8.0,5.264389,14.625127792358398
8.0,20.935455,11.414546012878418
8.0,1.583252,12.37912368774414
10.0,20.383888,14.623513221740723
10.0,8.178123,14.402584075927734
10.0,0.21334839,16.019784927368164
10.0,17.463997,17.336576461791992
10.0,3.1007462,14.61719036102295
10.0,37.469086,7.088655948638916
10.0,3.2335358,16.001253128051758
10.0,0.56746674,13.215599060058594
10.0,2.6184387,13.8360595703125
10.0,9.305267,14.190258026123047
10.0,13.965874,18.01677894592285
10.0,13.89122,15.349769592285156
13.0,2.3296356,18.556339263916016
13.0,0.62223816,16.983522415161133
13.0,0.6289444,20.481361389160156
13.0,1.1942673,16.487443923950195
13.0,9.078476,21.251575469970703
13.0,1.4692459,19.262441635131836
13.0,4.1451416,15.167476654052734
13.0,0.89253235,22.02530288696289
13.0,1.8846588,18.197509765625
13.0,0.8668823,20.571470260620117
13.0,5.8833466,14.233224868774414
13.0,4.127701,16.626264572143555
17.0,3.6677322,20.21267318725586
17.0,3.2194061,20.110382080078125
17.0,5.845558,25.187240600585938
17.0,15.091034,18.82613754272461
17.0,1.3133087,23.40009117126465
17.0,2.3786316,21.679967880249023
17.0,0.81463623,21.78974723815918
17.0,4.538025,19.64801597595215
17.0,11.835327,25.18943977355957
17.0,2.6721115,16.081010818481445
17.0,0.7097473,19.492040634155273
22.0,3.5750122,28.40842628479004
22.0,0.7319107,31.84626007080078
22.0,3.100502,34.52865219116211
22.0,1.5483856,36.010841369628906
22.0,16.042099,38.89809799194336
22.0,1.733696,29.435659408569336
22.0,1.919136,30.475032806396484
22.0,2.859436,28.412372589111328
22.0,0.11883545,22.347700119018555
22.0,1.3608246,29.005107879638672
30.0,4.104355,29.48796844482422
30.0,6.135704,32.31610870361328
30.0,0.36846924,33.86998748779297
30.0,0.49495697,34.593505859375
30.0,3.3112564,38.9992790222168
30.0,1.5804749,30.41208839416504
30.0,4.165024,29.067737579345703
30.0,1.8227539,41.325504302978516
30.0,0.41670227,33.949920654296875
6.0,45.160507,11.606954574584961
6.0,79.08644,13.120927810668945
6.0,1.9503937,11.201521873474121
6.0,8.02758,11.425076484680176
6.0,5.1256866,13.46488094329834
6.0,2.6109467,12.594990730285645
6.0,5.5437317,11.114089012145996
6.0,17.422012,11.488785743713379
6.0,3.6131134,14.429532051086426
6.0,20.279045,12.142740249633789
6.0,15.1994705,10.486187934875488
6.0,17.67913,11.797314643859863
8.0,7.730438,12.599322319030762
8.0,14.447304,10.695502281188965
8.0,14.831909,14.040507316589355
8.0,8.549332,12.94111156463623
8.0,4.113037,15.01806640625
8.0,0.8437805,13.41662883758545
8.0,13.760345,12.030539512634277
8.0,8.388695,12.058099746704102
8.0,5.3105927,11.781146049499512
8.0,7.1578827,14.440293312072754
8.0,29.647102,12.893324851989746
8.0,35.430313,11.222441673278809
10.0,3.4166641,29.951446533203125
10.0,5.9418335,13.99934196472168
10.0,14.080925,21.443912506103516
10.0,5.1933136,14.616056442260742
10.0,16.983322,16.031862258911133
10.0,2.9950867,14.011204719543457
10.0,4.495537,16.628759384155273
10.0,0.020309448,12.544445037841797
10.0,7.8361206,12.126679420471191
13.0,6.796631,15.151445388793945
13.0,6.4299774,16.883155822753906
13.0,4.322777,13.840487480163574
13.0,10.052162,29.855527877807617
13.0,12.917702,19.012840270996094
13.0,3.2965698,17.038015365600586
13.0,1.7497253,15.367033004760742
13.0,7.8353577,15.29984188079834
13.0,4.04039,14.765412330627441
13.0,27.863106,17.2185001373291
13.0,10.995605,13.236078262329102
13.0,30.496315,13.409196853637695
17.0,5.57502,21.915454864501953
17.0,0.34042358,25.039623260498047
17.0,2.2747574,19.80132293701172
17.0,7.403084,20.99823760986328
17.0,8.807991,21.885562896728516
17.0,0.19387054,26.79588508605957
17.0,1.8640594,18.820072174072266
17.0,3.1193848,21.01590919494629
17.0,0.3395996,18.76279067993164
17.0,8.806221,15.660700798034668
17.0,1.8922424,22.78264617919922
17.0,25.189606,21.99982261657715
22.0,2.7607574,29.96682357788086
22.0,30.142845,18.265050888061523
22.0,0.22266388,29.06307601928711
22.0,0.76301575,37.30003356933594
22.0,2.9294434,26.19906997680664
22.0,2.1728592,25.393739700317383
22.0,0.037338257,27.341707229614258
22.0,1.6729889,29.061107635498047
22.0,3.7217102,26.513713836669922
22.0,1.3020554,26.847286224365234
30.0,1.8084412,12.940421104431152
30.0,5.946884,33.628387451171875
30.0,2.3300858,35.09838104248047
30.0,2.016922,35.214786529541016
30.0,7.9666214,39.70083236694336
30.0,3.5726166,46.003475189208984
6.0,89.8739,19.73960304260254
6.0,13.053299,11.183055877685547
6.0,22.768402,10.371878623962402
6.0,4.0378265,13.798322677612305
